id,smiles
CHEMBL3199673,COc1cccc(/C=N/Nc2ccc(C(=O)O)cc2)c1O
CHEMBL1543818,Cn1c(-c2ccco2)nc2cc3ccccc3cc12
CHEMBL1467411,Cc1nn2cc(-c3ccccc3)nc2s1
CHEMBL259460,CC(C)(C)C(=O)Nc1ccc(NC(=O)c2cccc(O)c2)nc1
CHEMBL328430,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1
CHEMBL265715,CCOc1ccc(-c2cc(C(=O)N3CCC4(CC3)OCCO4)c3ccccc3n2)cc1
CHEMBL1601293,CCc1ccc(NC(=O)Nc2ccsc2C(=O)OC)cc1
CHEMBL1408307,CCCSc1ccc2nc(-c3ccccc3)cn2c1
CHEMBL1392673,Oc1ccc(N=Nc2ccc3ccccc3c2)cc1
CHEMBL1374515,COc1ccccc1C(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1
CHEMBL1372889,CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1
CHEMBL1389366,Cc1ccc(NC(=O)N2CCc3ccccc32)cc1
CHEMBL1371479,CCOC(=O)c1ccc2nc(NC(=O)c3cccs3)sc2c1
CHEMBL1533835,O=C(c1ccc(F)cc1)c1cc2ccc(O)cc2oc1=O
CHEMBL2324043,Fc1ccc(C2=NO[C@@H](Cc3ccccc3)C2)cc1
CHEMBL225903,COc1ccc(/C=C/c2nc3ccccc3n2C)cc1
CHEMBL1600459,COc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1
CHEMBL1496592,O=C(c1ccccc1)c1ccc2cc(O)ccc2c1
CHEMBL1323978,COC(=O)c1ccc(-c2nc(-c3cccs3)no2)cc1
CHEMBL1333831,Cc1cccc(C(=N)NOC(=O)c2ccc(Cl)cc2Cl)c1
CHEMBL3198603,Cc1cc(O)nc(N=N/C(=N/Nc2ccc(O)cc2)c2ccccc2)n1
CHEMBL530609,CCOc1ccc(Nc2nc(N)c3ccccc3n2)cc1
CHEMBL1302889,COC(=O)c1c(-c2cccnc2)csc1NC(=O)c1ccc2c(c1)OCO2
CHEMBL1462991,C=CCn1c(C)cc(C(=O)CSc2ccc(NC(C)=O)cc2)c1C
CHEMBL1467405,O=C1C(c2ccnc3ccccc23)=C(O)c2ccccc21
CHEMBL1470568,Cc1ccc(C(=O)O/N=C(\N)c2ccccn2)c(Cl)c1
CHEMBL3191962,CCN(CC)c1ccc(/C=N/NC(=O)c2ccoc2C)c(O)c1
CHEMBL1527929,CC1=CC(C)(C)Nc2ccc(OC(=O)CN3C(=O)CCC3=O)cc21
CHEMBL1403276,c1ccc2nc(-c3ccc(N4CCOCC4)cc3)ccc2c1
CHEMBL1340492,COc1cccc(-c2nc(-c3ccc(C(=O)O)cc3)no2)c1
CHEMBL3190606,Cc1ccc(-c2nc(N/N=C/c3cccnc3)c3ccccc3n2)cc1
CHEMBL1479010,Clc1ccccc1Nc1nnc(-c2ccncc2)s1
CHEMBL354261,O=C(N/N=C/c1ccccc1O)c1ccccc1O
CHEMBL328710,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1
CHEMBL1305233,Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1
CHEMBL1575708,O=C(/C=C/Nc1ccc(F)cc1F)c1ccco1
CHEMBL1325549,CN(C)c1ccc(N/C=C/C(=O)c2ccc(F)cc2)cc1
CHEMBL1521092,Fc1ccccc1Nc1nc2ccccc2o1
CHEMBL1303948,Cc1cccc(C(=N)NOC(=O)c2ccc3c(c2)OCO3)c1
CHEMBL1490887,CN1CCN(CC(=O)N2CCn3c4c(c5cc(C6CCCCC6)ccc35)CCCC24)CC1
CHEMBL260028,Clc1ccc(-c2nc(-c3ccccn3)no2)cc1Cl
CHEMBL960,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL1450797,CCOc1ccc(C(=O)O/N=C(\N)c2ccccn2)cc1
CHEMBL1518198,Nc1nc(Nc2cccc(F)c2)nc2ccccc12
CHEMBL1505003,COc1cccc(C(=O)Nc2ccc(N3CCCC3)cc2)c1
CHEMBL1530379,COc1ccc(N/C=C/C(=O)c2ccccc2)cc1
CHEMBL1993627,OC1=C(/C=N/c2ccc3c(c2)OCO3)CCc2ccccc21
CHEMBL1996752,C/C(=N/N=C/c1ccc(N(C)C)cc1)c1ccccc1
CHEMBL1401302,N=C(NOC(=O)c1ccc(Cl)cc1)c1[nH]ncc1Br
CHEMBL1481861,COc1ccc(-c2cc(-c3ccccc3)no2)cc1
CHEMBL410484,CCOC(=O)N1CCN(C(=O)c2cc(-c3ccc(OCC)cc3)nc3ccccc23)CC1
CHEMBL1451245,O=C(/C=C\Nc1ccc2c(c1)OCO2)c1cccs1
CHEMBL1994596,Cc1nonc1C(=O)N/N=C/c1ccc(O)cc1
CHEMBL1379740,COc1cccc2nc3cc(C)c(C)cc3nc12
CHEMBL1352154,COC(=O)c1sccc1NC(=O)Nc1cccc(F)c1
